analisator,terminal,code,message
s0,varinicio,00001,
s0,varfim,00002,
s0,;,00003,
s0,id,00004,
s0,int,00005,
s0,real,00006,
s0,lit,00007,
s0,leia,00008,
s0,escreva,00009,
s0,literal,00010,
s0,num,00011,
s0,RCB,00012,
s0,OPM,00013,
s0,se,00014,
s0,(,00015,
s0,),00016,
s0,entao,00017,
s0,OPR,00018,
s0,fimse,00019,
s0,fim,00020,
s0,$,00021,
s1,inicio,00022,
s1,varinicio,00023,
s1,varfim,00024,
s1,;,00025,
s1,id,00026,
s1,int,00027,
s1,real,00028,
s1,lit,00029,
s1,leia,00030,
s1,escreva,00031,
s1,literal,00032,
s1,num,00033,
s1,RCB,00034,
s1,OPM,00035,
s1,se,00036,
s1,(,00037,
s1,),00038,
s1,entao,00039,
s1,OPR,00040,
s1,fimse,00041,
s1,fim,00042,
s2,inicio,00043,
s2,varfim,00044,
s2,;,00045,
s2,id,00046,
s2,int,00047,
s2,real,00048,
s2,lit,00049,
s2,leia,00050,
s2,escreva,00051,
s2,literal,00052,
s2,num,00053,
s2,RCB,00054,
s2,OPM,00055,
s2,se,00056,
s2,(,00057,
s2,),00058,
s2,entao,00059,
s2,OPR,00060,
s2,fimse,00061,
s2,fim,00062,
s2,$,00063,
s3,inicio,00064,
s3,varinicio,00065,
s3,varfim,00066,
s3,;,00067,
s3,int,00068,
s3,real,00069,
s3,lit,00070,
s3,literal,00071,
s3,num,00072,
s3,RCB,00073,
s3,OPM,00074,
s3,(,00075,
s3,),00076,
s3,entao,00077,
s3,OPR,00078,
s3,fimse,00079,
s3,$,00080,
s4,inicio,00081,
s4,varinicio,00082,
s4,;,00083,
s4,int,00084,
s4,real,00085,
s4,lit,00086,
s4,leia,00087,
s4,escreva,00088,
s4,literal,00089,
s4,num,00090,
s4,RCB,00091,
s4,OPM,00092,
s4,se,00093,
s4,(,00094,
s4,),00095,
s4,entao,00096,
s4,OPR,00097,
s4,fimse,00098,
s4,fim,00099,
s4,$,00100,
s5,inicio,00101,
s5,varinicio,00102,
s5,varfim,00103,
s5,;,00104,
s5,id,00105,
s5,int,00106,
s5,real,00107,
s5,lit,00108,
s5,leia,00109,
s5,escreva,00110,
s5,literal,00111,
s5,num,00112,
s5,RCB,00113,
s5,OPM,00114,
s5,se,00115,
s5,(,00116,
s5,),00117,
s5,entao,00118,
s5,OPR,00119,
s5,fimse,00120,
s5,fim,00121,
s6,inicio,00122,
s6,varinicio,00123,
s6,varfim,00124,
s6,;,00125,
s6,int,00126,
s6,real,00127,
s6,lit,00128,
s6,literal,00129,
s6,num,00130,
s6,RCB,00131,
s6,OPM,00132,
s6,(,00133,
s6,),00134,
s6,entao,00135,
s6,OPR,00136,
s6,fimse,00137,
s6,$,00138,
s7,inicio,00139,
s7,varinicio,00140,
s7,varfim,00141,
s7,;,00142,
s7,int,00143,
s7,real,00144,
s7,lit,00145,
s7,literal,00146,
s7,num,00147,
s7,RCB,00148,
s7,OPM,00149,
s7,(,00150,
s7,),00151,
s7,entao,00152,
s7,OPR,00153,
s7,fimse,00154,
s7,$,00155,
s8,inicio,00156,
s8,varinicio,00157,
s8,varfim,00158,
