state,token,next
s0,"\t",s0
s0," ",s0
s0,"\n",s0
s0,"D",s1
s0,"""",s7
s0,"L",s10
s0,"{",s11
s0,"EOF",s13
s0,">",s14
s0,"<",s16
s0,"=",s19
s0,"*",s20
s0,"-",s20
s0,"+",s20
s0,"/",s20
s0,"(",s21
s0,")",s22
s0,";",s23
s1,"D",s1
s1,"E",s4
s1,"E",s4
s1,"\.",s2
s2,"D",s3
s3,"D",s3
s3,"E",s4
s3,"e",s4
s4,"+",s5
s4,"-",s5
s4,"D",s6
s5,"D",s6
s6,"D",s6
s7,"[A-z0-9]",s7
s7,":",s7
s7,"""",s8
s7,"\",s9
s9,"""",s7
s10,"L",s10
s10,"D",s10
s10,"_",s10
s11,"[A-z0-9]",s11
s11,"}",s12
s14,"=",s15
s16,"=",s15
s16,"-",s18
s16,">",s17
